date,Bullish,Bearish
2021-01-30,82,47
2021-01-31,95,50
2021-02-01,95,50
2021-02-02,95,50
2021-02-03,95,50
2021-02-04,95,50
2021-02-05,95,50
2021-02-06,95,50
2021-02-07,97,47
2021-02-08,97,47
2021-02-09,97,47
2021-02-10,97,47
2021-02-11,97,47
2021-02-12,97,47
2021-02-13,97,47
2021-02-14,84,39
2021-02-15,84,39
2021-02-16,84,39
2021-02-17,84,39
2021-02-18,84,39
2021-02-19,84,39
2021-02-20,84,39
2021-02-21,82,46
2021-02-22,82,46
2021-02-23,82,46
2021-02-24,82,46
2021-02-25,82,46
2021-02-26,82,46
2021-02-27,82,46
2021-02-28,82,42
2021-03-01,82,42
2021-03-02,82,42
2021-03-03,82,42
2021-03-04,82,42
2021-03-05,82,42
2021-03-06,82,42
2021-03-07,74,39
2021-03-08,74,39
2021-03-09,74,39
2021-03-10,74,39
2021-03-11,74,39
2021-03-12,74,39
2021-03-13,74,39
2021-03-14,72,37
2021-03-15,72,37
2021-03-16,72,37
2021-03-17,72,37
2021-03-18,72,37
2021-03-19,72,37
2021-03-20,72,37
2021-03-21,67,36
2021-03-22,67,36
2021-03-23,67,36
2021-03-24,67,36
2021-03-25,67,36
2021-03-26,67,36
2021-03-27,67,36
2021-03-28,65,30
2021-03-29,65,30
2021-03-30,65,30
2021-03-31,65,30
2021-04-01,65,30
2021-04-02,65,30
2021-04-03,65,30
2021-04-04,64,34
2021-04-05,64,34
2021-04-06,64,34
2021-04-07,64,34
2021-04-08,64,34
2021-04-09,64,34
2021-04-10,64,34
2021-04-11,71,35
2021-04-12,71,35
2021-04-13,71,35
2021-04-14,71,35
2021-04-15,71,35
2021-04-16,71,35
2021-04-17,71,35
2021-04-18,77,46
2021-04-19,77,46
2021-04-20,77,46
2021-04-21,77,46
2021-04-22,77,46
2021-04-23,77,46
2021-04-24,77,46
2021-04-25,74,38
2021-04-26,74,38
2021-04-27,74,38
2021-04-28,74,38
2021-04-29,74,38
2021-04-30,74,38
2021-05-01,74,38
2021-05-02,83,37
2021-05-03,83,37
2021-05-04,83,37
2021-05-05,83,37
2021-05-06,83,37
2021-05-07,83,37
2021-05-08,83,37
2021-05-09,100,46
2021-05-10,100,46
2021-05-11,100,46
2021-05-12,100,46
2021-05-13,100,46
2021-05-14,100,46
2021-05-15,100,46
2021-05-16,86,52
2021-05-17,86,52
2021-05-18,86,52
2021-05-19,86,52
2021-05-20,86,52
2021-05-21,86,52
2021-05-22,86,52
2021-05-23,90,45
2021-05-24,90,45
2021-05-25,90,45
2021-05-26,90,45
2021-05-27,90,45
2021-05-28,90,45
2021-05-29,90,45
2021-05-30,78,43
2021-05-31,78,43
2021-06-01,78,43
2021-06-02,78,43
2021-06-03,78,43
2021-06-04,78,43
2021-06-05,78,43
2021-06-06,82,44
2021-06-07,82,44
2021-06-08,82,44
2021-06-09,82,44
2021-06-10,82,44
2021-06-11,82,44
2021-06-12,82,44
2021-06-13,67,38
2021-06-14,67,38
2021-06-15,67,38
2021-06-16,67,38
2021-06-17,67,38
2021-06-18,67,38
2021-06-19,67,38
2021-06-20,72,42
2021-06-21,72,42
2021-06-22,72,42
2021-06-23,72,42
2021-06-24,72,42
2021-06-25,72,42
2021-06-26,72,42
2021-06-27,65,37
2021-06-28,65,37
2021-06-29,65,37
2021-06-30,65,37
2021-07-01,65,37
2021-07-02,65,37
2021-07-03,65,37
2021-07-04,61,34
2021-07-05,61,34
2021-07-06,61,34
2021-07-07,61,34
2021-07-08,61,34
2021-07-09,61,34
2021-07-10,61,34
2021-07-11,67,35
2021-07-12,67,35
2021-07-13,67,35
2021-07-14,67,35
2021-07-15,67,35
2021-07-16,67,35
2021-07-17,67,35
2021-07-18,61,32
2021-07-19,61,32
2021-07-20,61,32
2021-07-21,61,32
2021-07-22,61,32
2021-07-23,61,32
2021-07-24,61,32
2021-07-25,67,37
2021-07-26,67,37
2021-07-27,67,37
2021-07-28,67,37
2021-07-29,67,37
2021-07-30,67,37
2021-07-31,67,37
2021-08-01,60,34
2021-08-02,60,34
2021-08-03,60,34
2021-08-04,60,34
2021-08-05,60,34
2021-08-06,60,34
2021-08-07,60,34
2021-08-08,64,34
2021-08-09,64,34
2021-08-10,64,34
2021-08-11,64,34
2021-08-12,64,34
2021-08-13,64,34
2021-08-14,64,34
2021-08-15,65,32
2021-08-16,65,32
2021-08-17,65,32
2021-08-18,65,32
2021-08-19,65,32
2021-08-20,65,32
2021-08-21,65,32
2021-08-22,62,34
2021-08-23,62,34
2021-08-24,62,34
2021-08-25,62,34
2021-08-26,62,34
2021-08-27,62,34
2021-08-28,62,34
2021-08-29,61,30
2021-08-30,61,30
2021-08-31,61,30
2021-09-01,61,30
2021-09-02,61,30
